Stage,edt_time,pt_time,Team_1,Team_2,Match,Location,FULL_DATETIME_TMP,day_of_week,after_4pm_pt,game_tree,highlight
Group A,"Thursday, June 11, at 3:00 PM",12:00 PM,Mexico,South Africa,1,"Estadio Azteca, Mexico City",2026-06-11 15:00:00,Thursday,False,Thursday | Match 1 | Mexico vs South Africa | 12:00 PM PT | Thursday,
Group A,"Thursday, June 11, at 10:00 PM",7:00 PM,South Korea,Czechia,2,"Estadio Akron, Zapopan",2026-06-11 22:00:00,Thursday,True,Thursday | Match 2 | South Korea vs Czechia | 7:00 PM PT | Thursday,🔥 AFTER 4PM PT
Group B,"Friday, June 12, at 3:00 PM",12:00 PM,Canada,Bosnia,3,"BMO Field, Toronto",2026-06-12 15:00:00,Friday,False,Friday | Match 3 | Canada vs Bosnia | 12:00 PM PT | Friday,
Group D,"Friday, June 12, at 9:00 PM",6:00 PM,United States,Paraguay,4,"SoFi Stadium, Inglewood",2026-06-12 21:00:00,Friday,True,Friday | Match 4 | United States vs Paraguay | 6:00 PM PT | Friday,🔥 AFTER 4PM PT
Group B,"Saturday, June 13, at 3:00 PM",12:00 PM,Qatar,Switzerland,8,"Levi's Stadium, Santa Clara",2026-06-13 15:00:00,Saturday,False,Saturday | Match 8 | Qatar vs Switzerland | 12:00 PM PT | Saturday,
Group C,"Saturday, June 13, at 6:00 PM",3:00 PM,Brazil,Morocco,7,"MetLife Stadium, East Rutherford",2026-06-13 18:00:00,Saturday,False,Saturday | Match 7 | Brazil vs Morocco | 3:00 PM PT | Saturday,
Group C,"Saturday, June 13, at 9:00 PM",6:00 PM,Haiti,Scotland,5,"Gillette Stadium, Foxborough",2026-06-13 21:00:00,Saturday,True,Saturday | Match 5 | Haiti vs Scotland | 6:00 PM PT | Saturday,🔥 AFTER 4PM PT
Group D,"Saturday, June 13, at 11:59 PM",8:59 PM,Australia,Turkey,6,"BC Place, Vancouver",2026-06-13 23:59:00,Saturday,True,Saturday | Match 6 | Australia vs Turkey | 8:59 PM PT | Saturday,🔥 AFTER 4PM PT
Group E,"Sunday, June 14, at 1:00 PM",10:00 AM,Germany,Curacao,10,"NRG Stadium, Houston",2026-06-14 13:00:00,Sunday,False,Sunday | Match 10 | Germany vs Curacao | 10:00 AM PT | Sunday,
Group F,"Sunday, June 14, at 4:00 PM",1:00 PM,Netherlands,Japan,11,"AT&T Stadium, Arlington",2026-06-14 16:00:00,Sunday,False,Sunday | Match 11 | Netherlands vs Japan | 1:00 PM PT | Sunday,
Group E,"Sunday, June 14, at 7:00 PM",4:00 PM,Ivory Coast,Ecuador,9,"Lincoln Financial Field, Philadelphia",2026-06-14 19:00:00,Sunday,True,Sunday | Match 9 | Ivory Coast vs Ecuador | 4:00 PM PT | Sunday,🔥 AFTER 4PM PT
Group F,"Sunday, June 14, at 10:00 PM",7:00 PM,Sweden,Tunisia,12,"Estadio BBVA, Guadalupe",2026-06-14 22:00:00,Sunday,True,Sunday | Match 12 | Sweden vs Tunisia | 7:00 PM PT | Sunday,🔥 AFTER 4PM PT
Group H,"Monday, June 15, at 12:00 PM",9:00 AM,Spain,Cape Verde,14,"Mercedes-Benz Stadium, Atlanta",2026-06-15 12:00:00,Monday,False,Monday | Match 14 | Spain vs Cape Verde | 9:00 AM PT | Monday,
Group G,"Monday, June 15, at 3:00 PM",12:00 PM,Belgium,Egypt,16,"Lumen Field, Seattle",2026-06-15 15:00:00,Monday,False,Monday | Match 16 | Belgium vs Egypt | 12:00 PM PT | Monday,
Group H,"Monday, June 15, at 6:00 PM",3:00 PM,Saudi Arabia,Uruguay,13,"Hard Rock Stadium, Miami Gardens",2026-06-15 18:00:00,Monday,False,Monday | Match 13 | Saudi Arabia vs Uruguay | 3:00 PM PT | Monday,
Group G,"Monday, June 15, at 9:00 PM",6:00 PM,Iran,New Zealand,15,"SoFi Stadium, Inglewood",2026-06-15 21:00:00,Monday,True,Monday | Match 15 | Iran vs New Zealand | 6:00 PM PT | Monday,🔥 AFTER 4PM PT
Group I,"Tuesday, June 16, at 3:00 PM",12:00 PM,France,Senegal,17,"MetLife Stadium, East Rutherford",2026-06-16 15:00:00,Tuesday,False,Tuesday | Match 17 | France vs Senegal | 12:00 PM PT | Tuesday,
Group I,"Tuesday, June 16, at 6:00 PM",3:00 PM,Iraq,Norway,18,"Gillette Stadium, Foxborough",2026-06-16 18:00:00,Tuesday,False,Tuesday | Match 18 | Iraq vs Norway | 3:00 PM PT | Tuesday,
Group J,"Tuesday, June 16, at 9:00 PM",6:00 PM,Argentina,Algeria,19,"Arrowhead Stadium, Kansas City",2026-06-16 21:00:00,Tuesday,True,Tuesday | Match 19 | Argentina vs Algeria | 6:00 PM PT | Tuesday,🔥 AFTER 4PM PT
Group J,"Tuesday, June 16, at 11:59 PM",8:59 PM,Austria,Jordan,20,"Levi's Stadium, Santa Clara",2026-06-16 23:59:00,Tuesday,True,Tuesday | Match 20 | Austria vs Jordan | 8:59 PM PT | Tuesday,🔥 AFTER 4PM PT
Group K,"Wednesday, June 17, at 1:00 PM",10:00 AM,Portugal,DR Congo,23,"NRG Stadium, Houston",2026-06-17 13:00:00,Wednesday,False,Wednesday | Match 23 | Portugal vs DR Congo | 10:00 AM PT | Wednesday,
Group L,"Wednesday, June 17, at 4:00 PM",1:00 PM,England,Croatia,21,"AT&T Stadium, Arlington",2026-06-17 16:00:00,Wednesday,False,Wednesday | Match 21 | England vs Croatia | 1:00 PM PT | Wednesday,
Group L,"Wednesday, June 17, at 7:00 PM",4:00 PM,Ghana,Panama,22,"BMO Field, Toronto",2026-06-17 19:00:00,Wednesday,True,Wednesday | Match 22 | Ghana vs Panama | 4:00 PM PT | Wednesday,🔥 AFTER 4PM PT
